,Unnamed: 0,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
216,216,2201,裕隆,市,10/12,,42.7,-1.5,-3.39,16321,710,44.2,44.2,44.45,42.5,4.41,9.77,0.85,,,,
217,217,2301,光寶科,市,10/12,,63.2,-0.8,-1.25,4385,277,64,62.7,64,62.2,2.81,11,1.99,,,,
218,218,2313,華通,市,10/12,,37.1,-0.5,-1.33,4206,155,37.6,36.85,37.45,36.4,2.79,10.3,1.54,,,,
219,219,2337,旺宏,市,10/12,,35.55,-0.05,-0.14,13349,474,35.6,35,36,34.9,3.09,11.7,1.68,,,,
220,220,2344,華邦電,市,10/12,,25.05,-0.5,-1.96,24456,614,25.55,25.2,25.45,24.7,2.94,17.8,1.31,,,,
221,221,2345,智邦,市,10/12,,257.5,0,0,3258,836,257.5,250.5,260,249,4.27,29,11.1,,,,
222,222,2347,聯強,市,10/12,,51.2,-1,-1.92,3907,201,52.2,51.6,52.1,50.8,2.49,8.18,1.57,,,,
223,223,2354,鴻準,市,10/12,,67.9,-2.2,-3.14,11172,764,70.1,69.5,69.6,67.8,2.57,18.3,0.8,,,,
224,224,2371,大同,市,10/12,,33.65,-0.1,-0.3,57271,1940,33.75,33.65,34.2,33.5,2.07,,2.24,,,,
225,225,2376,技嘉,市,10/12,,105,+4.5,+4.48,74339,7753,100.5,102,108,100.5,7.46,7.79,2.18,,,,
226,226,2383,台光電,市,10/12,,207,-7.5,-3.5,1616,338,214.5,211,214.5,206.5,3.73,16,4.2,,,,
227,227,2385,群光,市,10/12,,78.9,0,0,2223,174,78.9,78.5,79.3,77,2.92,9.38,2.07,,,,
228,228,2404,漢唐,市,10/12,,182,+4.5,+2.54,920,167,177.5,176,183,176,3.94,9.97,4.34,,,,
229,229,2441,超豐,市,10/12,,75.2,-1.9,-2.46,1388,105,77.1,77.1,77.6,75,3.37,12.1,2.33,,,,
230,230,2474,可成,市,10/12,,162.5,-1.5,-0.91,1750,285,164,161.5,164.5,161,2.13,7.03,0.83,,,,
231,231,2492,華新科,市,10/12,,144,-4,-2.7,3824,553,148,145.5,146,143.5,1.69,8.36,1.71,,,,
232,232,2542,興富發,市,10/12,,45.1,+0.5,+1.12,5320,238,44.6,44.6,45.15,44.4,1.68,9,1.65,,,,
233,233,2606,裕民,市,10/12,,65.7,-7.2,-9.88,62011,4230,72.9,71,71.6,65.7,8.09,21.8,2.43,,,,
234,234,2610,華航,市,10/12,,16.75,+0.05,+0.3,20710,346,16.7,16.6,17,16.55,2.69,838,1.59,,,,
235,235,2889,國票金,市,10/12,,15.55,0,0,2454,38.2,15.55,15.55,15.6,15.5,0.64,11.1,1.13,,,,
236,236,2915,潤泰全,市,10/12,,88,-2.6,-2.87,5093,453,90.6,90.2,90.2,88,2.43,3.33,0.48,,,,
237,237,3023,信邦,市,10/12,,234.5,+0.5,+0.21,398,93.5,234,234,237.5,232,2.35,23.7,6.04,,,,
238,238,3037,欣興,市,10/12,,124,-6,-4.62,14147,1782,130,128,130,123,5.38,23.8,3.44,,,,
239,239,3044,健鼎,市,10/12,,111,-1.5,-1.33,867,96.6,112.5,111.5,112.5,110,2.22,8.88,1.67,,,,
240,240,3189,景碩,市,10/12,,219,-2,-0.9,25763,5627,221,216.5,226.5,213.5,5.88,73.5,3.75,,,,
241,241,3532,台勝科,市,10/12,,151.5,-4,-2.57,319,48.5,155.5,153,154,150,2.57,50.2,2.93,,,,
242,242,3533,嘉澤,市,10/12,,578,+4,+0.7,343,197,574,572,580,566,2.44,20.2,4.42,,,,
243,243,3576,聯合再生,市,10/12,,21.7,+1.05,+5.08,28952,623,20.65,21.2,22,20.95,5.08,,2.42,,,,
244,244,3653,健策,市,10/12,,340,-16,-4.49,3094,1065,356,347,354.5,336,5.2,59.1,6.65,,,,
245,245,3714,富采,市,10/12,,67.9,-1.5,-2.16,2145,146,69.4,68.6,69.2,67.8,2.02,,0.93,,,,
